especie_validada,longitud_caparazon_mm,longitud_rostro_mm,longitud_quela_mm,ancho_quela_mm,pleon_plegado,presencia_setas,ornamentacion_caparazon,forma_quela,notas,info_detallada,link_especie
Pisidia brasiliensis,3.89,0.99,4.65,2.15,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.76,0.99,4.86,2.08,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.71,1.03,4.4,1.95,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.85,0.9,4.11,1.94,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.61,1.02,4.3,1.86,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,4.08,0.99,4.52,1.86,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.7,1.01,4.24,2.04,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.69,0.99,4.36,2.19,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.8,0.95,4.69,1.88,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.84,0.9,4.2,2.02,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.94,1.01,4.47,1.97,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
Pisidia brasiliensis,3.52,0.96,4.4,2.11,1,0,lisa,robusta,"Tamaño pequeño ~3-4mm, Vzla+PI",Habita en aguas someras (0-100m) en ambientes marinos y salobres.,https://www.marinespecies.org/aphia.php?p=taxdetails&id=425845
